Job Title,Company,Location,Salary,Experience,Posted Date,Job URL,Salary_num,City
Junior Talent Acquisition Executive,NJ India Invest Private Limited,Surat,"₹ 3,15,000 - 3,75,000",1,3,https://internshala.com/job/detail/junior-talent-acquisition-executive-job-in-surat-at-nj-india-invest-private-limited1765878569,3.0,Surat
EdTech Sales Associate,Tutopia Private Limited,Kolkata,"₹ 3,04,000 - 5,64,000",0,0,https://internshala.com/job/detail/fresher-edtech-sales-associate-job-in-kolkata-at-tutopia-private-limited1767847752,3.0,Kolkata
Corporate Sales Executive,NJ India Invest Private Limited,Surat,"₹ 3,00,000 - 4,25,000",0,3,https://internshala.com/job/detail/fresher-corporate-sales-executive-job-in-surat-at-nj-india-invest-private-limited1765876109,3.0,Surat
Level Designer,Flipspaces,Mumbai,"₹ 3,00,000 - 4,00,000",1,2,https://internshala.com/job/detail/level-designer-job-in-mumbai-at-flipspaces1766562661,3.0,Mumbai
Marketing Executive,603 The CoWorking Space India,"Mumbai,Bandra","₹ 3,00,000 - 3,50,000",1,1,https://internshala.com/job/detail/marketing-executive-job-in-multiple-locations-at-603-the-coworking-space-india1766833795,3.0,Mumbai
Omni Sport Advisor,Decathlon Sport India Private Limited,Mumbai,"₹ 3,00,000 - 3,50,000",0,3,https://internshala.com/job/detail/fresher-omni-sport-advisor-job-in-mumbai-at-decathlon-sport-india-private-limited1765288125,3.0,Mumbai
Partnership & Marketing ﻿Executive,603 The CoWorking Space India,"Mumbai,Bandra","₹ 3,00,000 - 3,50,000",1,3,https://internshala.com/job/detail/partnership-marketing-executive-job-in-multiple-locations-at-603-the-coworking-space-india1765277091,3.0,Mumbai
Senior Accountant,603 The CoWorking Space India,"Mumbai,Bandra","₹ 3,00,000 - 3,50,000",1,3,https://internshala.com/job/detail/senior-accountant-job-in-multiple-locations-at-603-the-coworking-space-india1765187106,3.0,Mumbai
Human Resources (HR) Executive,Zucol Group Of Companies,Pune,"₹ 3,00,000 - 3,40,000",1,2,https://internshala.com/job/detail/human-resources-hr-executive-job-in-pune-at-zucol-group-of-companies1766353534,3.0,Pune
Corporate Sales Executive,Gagan Ferrotech Limited,Kolkata,"₹ 2,90,000 - 4,00,000",1,3,https://internshala.com/job/detail/corporate-sales-executive-job-in-kolkata-at-gagan-ferrotech-limited1765517644,2.0,Kolkata
Customer Service Executive,NoBroker Technologies Solutions Private Limited,Work from home,"₹ 2,68,000 - 3,12,000",0,1,https://internshala.com/job/detail/fresher-remote-customer-service-executive-job-at-nobroker-technologies-solutions-private-limited1767098143,2.0,Work from home
Customer Service Executive,Enrich Hair And Skin Solutions Private Limited,Mumbai,"₹ 2,66,000 - 3,45,000",1,3,https://internshala.com/job/detail/customer-service-executive-job-in-mumbai-at-enrich-hair-and-skin-solutions-private-limited1765512337,2.0,Mumbai
Administration Executive,GlobalStep Services Private Limited,Pune,"₹ 2,64,000 - 3,17,000",1,3,https://internshala.com/job/detail/administration-executive-job-in-pune-at-globalstep-services-private-limited1765971372,2.0,Pune
Associate Telecaller,Blackbuck (Zinka Logistics Solutions Private Limited),Jaipur,"₹ 2,62,000 - 3,00,000",0,2,https://internshala.com/job/detail/fresher-associate-telecaller-job-in-jaipur-at-blackbuck-zinka-logistics-solutions-private-limited1766559162,2.0,Jaipur
Admission Counselor,Vishwa Vishwani Institute Of System And Management,Hyderabad,"₹ 2,60,000 - 5,20,000",0,2,https://internshala.com/job/detail/fresher-admission-counselor-job-in-hyderabad-at-vishwa-vishwani-institute-of-system-and-management1766560570,2.0,Hyderabad
Lead Generation Associate,Ondirect Marketing Services LLp,Pune,"₹ 2,58,000 - 5,36,000",0,1,https://internshala.com/job/detail/fresher-lead-generation-associate-job-in-pune-at-ondirect-marketing-services-llp1767693782,2.0,Pune
Commi Chef 3/2/1,Travel Food Services,Chennai,"₹ 2,52,000 - 3,80,000",0,0,https://internshala.com/job/detail/fresher-commi-chef-3-2-1-job-in-chennai-at-sathishkumar-mohan1767769975,2.0,Chennai
Customer Acquisition Executive,IREED Academy India Private Limited,Gurgaon,"₹ 2,50,000 - 3,80,000",0,2,https://internshala.com/job/detail/fresher-customer-acquisition-executive-job-in-gurgaon-at-ireed-academy-india-private-limited1766044006,2.0,Gurgaon
Business Development Specialist,Moople Institute Of Animation And Design,Kolkata,"₹ 2,50,000 - 3,20,000",1,2,https://internshala.com/job/detail/business-development-specialist-job-in-kolkata-at-moople-institute-of-animation-and-design1766554842,2.0,Kolkata
